ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcveraa,Vera'a,Papunesia,-13.892528,167.428701,vera1241,,"Austronesian, Malayo-Polynesian, Oceanic, Vanuatu","Vanuatu, Banks Islands, Vanua Lava",Vera'a village
en,English,,,,stan1293,,,,
